排名,专业,专业代码,所属专业类,所属学科门类,专业榜总分,机会规模指数,直接对口指数,独占指数得分,专业相关招录人数,直接对口招录人数,专业独占指数,全部可报招录人数_含不限,折算独占招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
138,道路桥梁与渡河工程,081006T,土木类,工学,78.3671,80.0954,75.3278,79.857,3822,36,0.0083794,9181.0,76.93129,3203,35,5359
139,邮政管理,120107T,管理科学与工程类,管理学,78.1824,80.7509,72.944,81.4064,4684,30,0.00916416,10043.0,92.035648,4328,34,5359
140,环境科学与工程,082501,环境科学与工程类,工学,78.1019,72.4076,88.975,71.9905,2290,103,0.00685576,7649.0,52.439685,1777,35,5359
141,政治学与行政学,030201,政治学类,法学,78.0274,77.9499,78.4267,77.5924,3358,44,0.00783227,8717.0,68.273923,1968,30,5359
142,车辆工程,080207,机械类,工学,77.6043,77.5924,82.4791,70.7986,3230,57,0.00647793,8589.0,55.63898,2519,35,5359
143,电信工程及管理,080715T,电子信息类,工学,77.5298,89.2729,59.8927,83.4327,7095,15,0.00955785,12454.0,119.033427,6623,35,5359
144,环境科学,082503,环境科学与工程类,工学,77.4702,73.8975,83.2539,75.0894,2662,59,0.00741165,8021.0,59.44887,1781,35,5359
145,建筑环境与能源应用工程,081002,土木类,工学,77.1842,79.9762,72.1692,79.7378,3799,29,0.00833105,9158.0,76.295778,3203,35,5359
146,技术侦查学,030616TK,公安学类,法学,77.1096,67.8188,90.7032,72.944,1943,123,0.00702533,7302.0,51.298926,1472,30,5359
147,编辑出版学,050305,新闻传播学类,文学,76.8594,84.5054,60.7867,87.1275,5551,16,0.01163719,10910.0,126.961693,5283,22,5359
148,犯罪学,030611TK,公安学类,法学,76.7103,67.6996,91.0608,71.0369,1933,127,0.00648739,7292.0,47.306055,1466,30,5359
149,社会学,030301,社会学类,法学,76.7044,70.2026,88.4386,70.6794,2043,100,0.00646342,7402.0,47.842246,1401,30,5359
150,人文地理与城乡规划,070503,地理科学类,理学,76.621,70.441,82.4791,78.3075,2065,57,0.0079285,7424.0,58.86118,770,39,5359
151,劳动经济学,020107T,经济学类,经济学,76.4809,98.3313,37.0083,96.7819,14108,3,0.02261099,19467.0,440.168214,13229,19,5359
152,交通工程,081802,交通运输类,工学,76.4332,73.4207,86.1144,67.6996,2471,75,0.00592477,7830.0,46.39096,1089,35,5359
153,信用管理,020306T,金融学类,经济学,76.3856,94.994,42.8486,93.5638,11711,5,0.02003142,17070.0,341.936295,10941,19,5359
154,化工安全工程,081306T,化工与制药类,工学,76.3111,70.0834,84.3862,74.9702,2010,64,0.00738944,7369.0,54.452785,1129,35,5359
155,化学,070301,化学类,理学,76.2902,67.1037,90.882,70.5602,1865,124,0.00643572,7224.0,46.491628,1041,39,5359
156,公安情报学,030610TK,公安学类,法学,76.028,67.3421,87.9023,73.3015,1910,88,0.00708647,7269.0,51.51152,1472,30,5359
157,中国少数民族语言文学,050104,中国语言文学类,文学,75.8075,85.2205,56.1979,88.2002,6271,12,0.01219125,11630.0,141.784225,6079,22,5359
158,治安学,030601K,公安学类,法学,75.6407,67.2229,88.975,70.441,1900,103,0.00641453,7259.0,46.563058,1472,30,5359
159,国际经济发展合作,020403T,经济与贸易类,经济学,75.5036,86.5316,51.7878,91.0608,6666,9,0.01448015,12025.0,174.12385,6168,19,5359
160,中国共产党历史,030502,马克思主义理论类,法学,75.3248,74.1359,72.1692,81.6448,2804,29,0.00937244,8163.0,76.507214,2240,30,5359
161,物业管理,120209,工商管理类,管理学,75.1549,90.584,49.8212,85.9356,7525,8,0.01113819,12884.0,143.504501,7054,34,5359
162,土木、水利与交通工程,081010T,土木类,工学,74.9553,79.4994,67.2825,78.4267,3672,23,0.00794698,9031.0,71.76915,3203,35,5359
163,交通管理,120407T,公共管理类,管理学,74.7617,84.6246,60.7867,78.5459,5554,16,0.00794801,10913.0,86.736585,4760,34,5359
164,服务科学与工程,080915T,计算机类,工学,74.699,93.087,42.8486,89.8689,10086,5,0.01348556,15445.0,208.284538,9515,35,5359
165,智能测控工程,080720T,电子信息类,工学,74.5262,89.1538,51.7878,82.9559,7089,9,0.00945872,12448.0,117.742167,6623,35,5359
166,电影制作,080913T,计算机类,工学,74.5024,92.9678,42.8486,89.2729,9993,5,0.01327668,15352.0,203.82355,9422,35,5359
167,体育经济与管理,120212T,工商管理类,管理学,74.3653,90.4648,47.6162,86.0548,7523,7,0.01114739,12882.0,143.600718,7052,34,5359
168,水文与水资源工程,081102,水利类,工学,74.3087,71.6329,78.4267,72.8248,2217,44,0.00696925,7576.0,52.799044,937,35,5359
169,电子商务,120801,电子商务类,管理学,74.0584,78.4267,66.6269,77.4732,3472,22,0.00782838,8831.0,69.132461,3045,34,5359
170,医学信息工程,080711T,电子信息类,工学,73.826,88.975,49.8212,83.1943,7087,8,0.00952255,12446.0,118.517669,6622,35,5359
171,智能装备与系统,080806T,自动化类,工学,73.528,74.9702,76.6389,66.8653,2841,39,0.00587209,8200.0,48.15113,2372,35,5359
172,风景园林,082803,建筑类,工学,73.4952,78.3075,63.7068,79.4994,3419,19,0.00829562,8778.0,72.818968,2747,35,5359
173,地理信息科学,070504,地理科学类,理学,73.2271,70.5602,73.8379,76.6389,2069,33,0.00777092,7428.0,57.722429,770,39,5359
174,临床医学,100201K,临床医学类,医学,73.1645,50.298,96.9011,76.5197,1171,285,0.00776329,6530.0,50.694282,803,16,5359
175,商务英语,050262,外国语言文学类,文学,73.1049,61.7402,80.3337,81.1681,1636,51,0.00879398,6995.0,61.513917,76,22,5359
176,涉外警务,030613TK,公安学类,法学,73.0155,66.9845,83.7902,67.5805,1855,62,0.00589709,7214.0,42.5416,1468,30,5359
177,智能视觉工程,080721T,电子信息类,工学,72.935,88.975,47.6162,82.7175,7087,7,0.00945355,12446.0,117.658834,6623,35,5359
178,智能建造,081008T,土木类,工学,72.8963,79.3206,61.8594,78.0691,3666,17,0.00791972,9025.0,71.475517,3203,35,5359
179,外交学,030203,政治学类,法学,72.8933,73.1228,69.1895,77.7116,2323,26,0.00789364,7682.0,60.638979,1968,30,5359
180,跨境电子商务,120803T,电子商务类,管理学,72.8665,78.1883,64.6007,75.9237,3382,20,0.0076138,8741.0,66.552249,3045,34,5359
181,建筑电气与智能化,081004,土木类,工学,72.8367,79.3206,61.8594,77.8308,3666,17,0.0078984,9025.0,71.283057,3203,35,5359
182,农业资源与环境,090201,自然保护与环境生态类,农学,72.7533,71.3945,76.6389,69.4875,2176,39,0.00615463,7535.0,46.375122,994,18,5359
183,安全生产监管,082904T,安全科学与工程类,工学,72.7175,63.6472,84.0286,71.3945,1753,63,0.00664693,7112.0,47.272969,1262,35,5359
184,国际政治,030202,政治学类,法学,72.7145,73.1228,69.1895,76.9964,2323,26,0.00779179,7682.0,59.856493,1968,30,5359
